,Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
0,050514CP13,05/05/2014,MIDLAND BEACH,Center,20.0,MPN/100 ml
1,062011GR04,06/20/2011,MANHATTAN BEACH,Left,0.0,Result below detection limit
2,072808BH09,07/28/2008,MIDLAND BEACH,Right,28.0,MPN/100 ml
3,051214CP36,05/12/2014,SOUTH BEACH,Right,4.0,MPN/100 ml
4,081511KB07,08/15/2011,CEDAR GROVE,Left,360.0,MPN/100 ml
5,062909KB01,06/29/2009,MANHATTAN BEACH,Left,8.0,MPN/100 ml
6,082112KB07,08/21/2012,CEDAR GROVE,Left,20.0,MPN/100 ml
7,072015GR06,07/20/2015,MANHATTAN BEACH,Right,0.0,Result below detection limit
8,082613CP16,08/26/2013,SOUTH BEACH,Center,12.0,MPN/100 ml
9,081709KB07,08/17/2009,MIDLAND BEACH,Left,4.0,MPN/100 ml
10,082911SG01,08/29/2011,ORCHARD BEACH,Left,4.0,MPN/100 ml
11,050707BH11,05/07/2007,SOUTH BEACH,Center,4.0,MPN/100 ml
12,070714GR01,07/07/2014,GERRITSEN/KIDDIE BEACH,Left,4.0,MPN/100 ml
13,082807BH10,08/28/2007,SOUTH BEACH,Left,56.0,MPN/100 ml
14,072909SG07,07/29/2009,ORCHARD BEACH,Left,8.0,MPN/100 ml
15,042511GR14,04/25/2011,SEAGATE BEACH - 38TH STREET,Left,480.0,MPN/100 ml
16,042109IM10,04/21/2009,DANISH AMERICAN BEACH CLUB,Left,760.0,MPN/100 ml
17,050509IM13,05/05/2009,MANHEM BEACH CLUB,Left,260.0,MPN/100 ml
18,082107BH12,08/21/2007,SOUTH BEACH,Right,68.0,MPN/100 ml
19,082305MR02,08/23/2005,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,16.0,MPN/100 ml
20,060209GR09,06/02/2009,ROCKAWAY BEACH 15TH - 22TH,Center,0.0,Result below detection limit
21,050112GR13,05/01/2012,MANHEM BEACH CLUB,Left,60.0,MPN/100 ml
22,072808GR17,07/28/2008,SEAGATE BEACH - 38TH STREET,Left,8.0,MPN/100 ml
23,073012KB04,07/30/2012,WOLFE'S POND PARK,Left,16.0,MPN/100 ml
24,081210KB06,08/12/2010,CONEY ISLAND WEST 16TH - WEST 27TH,Right,48.0,MPN/100 ml
25,080410GR04,08/04/2010,ROCKAWAY BEACH 116TH - 126TH,Center,0.0,Result below detection limit
26,080707NR04,08/07/2007,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,4.0,MPN/100 ml
27,072610GR09,07/26/2010,KINGSBOROUGH COMMUNITY COLLEGE,Right,64.0,MPN/100 ml
28,081710GR09,08/17/2010,KINGSBOROUGH COMMUNITY COLLEGE,Right,320.0,MPN/100 ml
29,082410IM13,08/24/2010,SEAGATE BEACH - 38TH STREET,Right,4.0,MPN/100 ml
30,051914GR02,05/19/2014,GERRITSEN/KIDDIE BEACH,Center,72.0,MPN/100 ml
31,073007BH02,07/30/2007,SI YMCA OF GREATER NEW YORK,Center,0.0,Result below detection limit
32,080310GR04,08/03/2010,WHITE CROSS FISHING CLUB,Left,0.0,Result below detection limit
33,082410IM11,08/24/2010,SEAGATE BEACH - 38TH STREET,Left,8.0,MPN/100 ml
34,070913GR13,07/09/2013,CONEY ISLAND WEST 8TH - PIER,Center,0.0,Result below detection limit
35,091108BH03,09/11/2008,DOUGLASTON HOMEOWNERS ASSOCIATION,Right,12.0,MPN/100 ml
36,042413GR14,04/24/2013,BREEZY POINT - 219TH STREET,Right,0.0,Result below detection limit
37,050913GR01,05/09/2013,BREEZY POINT - REID AVE.,Left,72.0,MPN/100 ml
38,062408GR10,06/24/2008,DANISH AMERICAN BEACH CLUB,Left,4.0,MPN/100 ml
39,062006BH10,06/20/2006,SOUTH BEACH,Right,4.0,MPN/100 ml
40,071905MR11,07/19/2005,MORRIS YACHT AND BEACH CLUB,Center,8.0,MPN/100 ml
41,082509GR07,08/25/2009,ROCKAWAY BEACH 59TH - 80TH,Center,8.0,MPN/100 ml
42,081307BH24,08/13/2007,SCHUYLER HILL CIVIC ASSOCIATION,Center,4.0,MPN/100 ml
43,060209IM02,06/02/2009,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,8.0,MPN/100 ml
44,063015CP11,06/30/2015,DANISH AMERICAN BEACH CLUB,Center,36.0,MPN/100 ml
45,051408BH01,05/14/2008,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,8.0,MPN/100 ml
46,071514CP02,07/15/2014,CONEY ISLAND WEST 16TH - WEST 27TH,Center,96.0,MPN/100 ml
47,072511KB09,07/25/2011,CEDAR GROVE,Right,0.0,Result below detection limit
48,050112KB10,05/01/2012,WEST FORDHAM STREET ASSOCIATION,Left,120.0,MPN/100 ml
49,071812GR02,07/18/2012,BREEZY POINT - REID AVE.,Center,16.0,MPN/100 ml
50,060908BH07,06/09/2008,MIDLAND BEACH,Left,0.0,Result below detection limit
51,043013GR13,04/30/2013,MANHEM BEACH CLUB,Left,4.0,MPN/100 ml
52,052709KB13,05/27/2009,CONEY ISLAND WEST 16TH - WEST 27TH,Center,4.0,MPN/100 ml
53,070715GR12,07/07/2015,DANISH AMERICAN BEACH CLUB,Right,8.0,MPN/100 ml
54,042616AO15,04/26/2016,WEST FORDHAM STREET ASSOCIATION,Right,0.0,Result below detection limit
55,062011GR01,06/20/2011,GERRITSEN/KIDDIE BEACH,Left,84.0,MPN/100 ml
56,072505SI04,07/25/2005,MIDLAND BEACH,Left,36.0,MPN/100 ml
57,050712KB07,05/07/2012,ORCHARD BEACH,Left,0.0,Result below detection limit
58,082112KB02,08/21/2012,SI YMCA OF GREATER NEW YORK,Center,0.0,Result below detection limit
59,082514GR15,08/25/2014,SEAGATE BEACH - 38TH STREET,Center,0.0,Result below detection limit
60,060607BH06,06/06/2007,MIDLAND BEACH,Right,20.0,MPN/100 ml
61,082707GR02,08/27/2007,GERRITSEN/KIDDIE BEACH,Center,130.0,MPN/100 ml
62,072908BH08,07/29/2008,MORRIS YACHT AND BEACH CLUB,Center,12.0,MPN/100 ml
63,072711SG14,07/27/2011,MANHEM BEACH CLUB,Center,28.0,MPN/100 ml
64,052305BH05,05/23/2005,MIDLAND BEACH,Center,36.0,MPN/100 ml
65,082311GR01,08/23/2011,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,0.0,Result below detection limit
66,080414GR18,08/04/2014,SEAGATE BEACH - 42ND STREET,Center,0.0,Result below detection limit
67,062110KB06,06/21/2010,WOLFE'S POND PARK,Right,4.0,MPN/100 ml
68,082515SM12,08/25/2015,DANISH AMERICAN BEACH CLUB,Right,0.0,Result below detection limit
69,080206ZK12,08/02/2006,DANISH AMERICAN BEACH CLUB,Right,4.0,MPN/100 ml
70,062910KB15,06/29/2010,MORRIS YACHT AND BEACH CLUB,Right,0.0,Result below detection limit
71,082112GR05,08/21/2012,MANHATTAN BEACH,Center,4.0,MPN/100 ml
72,060914GR15,06/09/2014,SEAGATE BEACH - 38TH STREET,Center,0.0,Result below detection limit
73,042913KB15,04/29/2013,SI YMCA OF GREATER NEW YORK,Right,0.0,Result below detection limit
74,072108GR18,07/21/2008,GERRITSEN/KIDDIE BEACH,Center,0.0,Result below detection limit
75,050707BH09,05/07/2007,MIDLAND BEACH,Right,0.0,Result below detection limit
76,060914GR06,06/09/2014,MANHATTAN BEACH,Right,8.0,MPN/100 ml
77,061906IM01,06/19/2006,MORRIS YACHT AND BEACH CLUB,Left,12.0,MPN/100 ml
78,060606IM12,06/06/2006,WHITE CROSS FISHING CLUB,Right,64.0,MPN/100 ml
79,081913GR07,08/19/2013,KINGSBOROUGH COMMUNITY COLLEGE,Left,24.0,MPN/100 ml
80,061809GR04,06/18/2009,SEAGATE BEACH - 38TH STREET,Left,4.0,MPN/100 ml
81,072413GR16,07/24/2013,WHITE CROSS FISHING CLUB,Center,28.0,MPN/100 ml
82,062414SG04,06/24/2014,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,8.0,MPN/100 ml
83,052609KB12,05/26/2009,ORCHARD BEACH,Right,16.0,MPN/100 ml
84,052112GR04,05/21/2012,WHITE CROSS FISHING CLUB,Left,160.0,MPN/100 ml
85,082911GR11,08/29/2011,BREEZY POINT - REID AVE.,Right,8.0,MPN/100 ml
86,061112GR15,06/11/2012,MANHEM BEACH CLUB,Right,64.0,MPN/100 ml
87,070506JR04,07/05/2006,MANHATTAN BEACH,Left,4.0,MPN/100 ml
88,083109KB04,08/31/2009,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,32.0,MPN/100 ml
89,071408GR04,07/14/2008,MANHATTAN BEACH,Left,4.0,MPN/100 ml
90,082807GR15,08/28/2007,SEAGATE BEACH - 42ND STREET,Center,4.0,MPN/100 ml
91,050211SG15,05/02/2011,SI YMCA OF GREATER NEW YORK,Left,0.0,Result below detection limit
92,071806ZK12,07/18/2006,WHITE CROSS FISHING CLUB,Right,0.0,Result below detection limit
